welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
ir	PPER.*.Nom.Pl.2	ir	ir
nû	AVD	nû	nû
hoeren	VVINF	hoeren	hoèren
wunder	NA.Neut.Akk.Sg.st	wunder	wunter
,	$_	,	,
sô	AVD	sô	sô
künde	VVFIN.*.Pres.Sg.1	künde	künden
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
besunder	AVD	besunder	besunter
diu	DDART.Neut.Akk.Pl.*	diu	dër
starken	ADJA.Pos.*.Akk.Pl.wk	starken	stark
niuwen	ADJA.Pos.*.Akk.Pl.wk	niuwen	niuwe
maere	NA.Neut.Akk.Pl.st	mære	mære
.	$_	.	.
	
lât	VVIMP.Pl.2	lât	lâzen
iu	PRF.Dat.Pl.st	iu	ir
niht	PTKNEG	niht	niht
wesen	VAINF	wesen	wësen
swaere	ADJD.Pos	swære	swære
,	$_	,	,
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
sage	VVFIN.*.Pres.Sg.1	sage	sagen
diu	DDART.Fem.Akk.Sg.*	diu	dër
wârheit	NA.Fem.Akk.Sg.st	wârheit	wârhèit
(	$_	(	(
daz	DDS.Neut.Akk.Sg.*	daz	dër
enhabent	PTKNEG|VAFIN.Ind.Pres.Pl.3	en|habent	ne|haben
niht	PTKNEG	niht	niht
vür	APPR	vür	vüre
leit	NA.Neut.Akk.Sg.st	leit	lèid
)	$_	)	)
von	APPR	von	von
einem	DIART.Masc.Dat.Sg.st	einem	èin
edelen	ADJA.Pos.Masc.Dat.Sg.wk	edelen	èdele
künege	NA.Masc.Dat.Sg.st	küninge	küning
hêr	ADJN.Masc.Dat.Sg.*	hêr	hêre
:	$_	:	:
dietwart	AVD|VAFIN.Ind.Past.Sg.3	diet|wart	diè|wërden
sô	AVD	sô	sô
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
er	PPER.Masc.Nom.Sg.3	er	ër
.	$_	.	.
	
dem	DDS.Masc.Dat.Sg.*	dem	dër
dient	VVFIN.*.Past.Sg.3	diente	diènen
vür	APPR	vür	vüre
eigen	ADJA.Pos	eigen	èigen
roemisch	ADJA.Pos	roemisch	roèmisch
lant	NA.Neut.Nom.Sg.st	lant	lant
und	KON	und	unte
muoste	VMFIN.*.Past.Sg.3	muoste	müèzen
im	PPER.Masc.Dat.Sg.3	im	ër
warten	VVINF	warten	warten
allesant	AVD	allesant	allesam
schône	AVD	schône	schône
mit	APPR	mit	mit
gewalde	NA.Masc.Dat.Sg.st	gewalte	gewalt
.	$_	.	.
	
im	PPER.Masc.Dat.Sg.3	im	ër
dienten	VVFIN.*.Past.Pl.3	dienten	diènen
helde	NA.Masc.Nom.Pl.st	helde	hèled
balde	AVD	balde	balde
vil	AVD	vile	vile
und	KON	und	unte
mêre	AVD.Comp	mêre	mêre
durch	APPR	durch	durh
die	DDART.Fem.Akk.Sg.*	die	dër
grôzen	ADJA.Pos.Fem.Akk.Sg.wk	grôzen	grôz
êre	NA.Fem.Akk.Sg.st	êre	êre
,	$_	,	,
der	DRELS.Fem.Gen.Sg	der	dër
er	PPER.Masc.Nom.Sg.3	er	ër
pflac	VVFIN.Ind.Past.Sg.3	pflac	pflëgen
in	APPR	in	in
sînem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
rîche	NA.Neut.Dat.Sg.st	rîche	rîche
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
lebte	VVFIN.*.Past.Sg.3	lebete	lëben
sô	AVD	sô	sô
hêrlîche	AVD	hêrlîche	hêrlîche
,	$_	,	,
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
im	PPER.Masc.Dat.Sg.3	im	ër
jach	VVFIN.Ind.Past.Sg.3	jach	jëhen
des	DDART.Masc.Gen.Sg.*	des	dër
besten	ADJA.Sup.Neut.Gen.Sg.wk	bezzisten	bèzzist
von	APPR	von	von
vriunden	NA.Masc.Dat.Pl.st	vriunden	vriunt
und	KON	und	unte
von	APPR	von	von
gesten	NA.Masc.Dat.Pl.st	gesten	gast
in	APPR	in	in
sîner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
blüenden	ADJA.Pos.Fem.Dat.Sg.wk	blüejenten	blüèjen
jugende	NA.Fem.Dat.Sg.st	jugende	jugend
.	$_	.	.
	
swaz	PG.Neut.Akk.Sg.st	swaz	swër
man	PI.*.Nom.Sg.st	man	man
uns	PPER.*.Dat.Pl.1	uns	wir
von	APPR	von	von
tugende	NA.Fem.Dat.Sg.st	tugende	tugende
ie	AVD	ie	iè
gesaget	VVFIN.Ind.Pres.Sg.3	gesaget	gesagen
maere	NA.Fem,Neut.Akk.Sg.st	mære	mære
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Fem.Gen.Sg.*	der	dër
êrbaere	NA.Fem.Gen.Sg.st	êrbære	êrbære
ein	DIART.Fem.Nom.Sg.*	ein	èin
gimme	NA.Fem.Nom.Sg.*	gimme	gimme
und	KON	und	unte
ein	DIART.Masc.Nom.Sg.*	ein	èin
adamant	NA.Masc.Nom.Sg.st	adamant	adamas
:	$_	:	:
dâ	PAVD	dâ	dâr
von	PAVAP	von	vone
er	PPER.Masc.Nom.Sg.3	er	ër
wîten	AVD	wîten	wîtene
was	VAFIN.Ind.Past.Sg.3	was	wësen
erkant	VVPP	erkant	erkènnen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
lebte	VVFIN.*.Past.Sg.3	lebete	lëben
in	APPR	in	in
reinen	ADJA.Pos.*.Dat.Pl.*	reinen	rèine
blüenden	ADJA.Pos.*.Dat.Pl.*	blüejenten	blüèjen
tagen	NA.Masc.Dat.Pl.st	tagen	tag
,	$_	,	,
als	KO*	als	allsô
wir	PPER.*.Nom.Pl.1	wir	wir
die	DDART.*.Akk.Pl.*	die	dër
wîsen	ADJA.Pos.*.Akk.Pl.wk	wîsen	wîse
hoeren	VVFIN.*.Pres.Pl.1	hoeren	hoèren
sagen	VVFIN.*.Pres.Pl.1	sagen	sagen
,	$_	,	,
sô	AVD	sô	sô
gar	AVD	gar	gare
ân	APPR	âne	âne
alle	DIA.Fem.Akk.Sg.st	alle	all
schande	NA.Fem.Akk.Sg.st	schande	schante
.	$_	.	.
	
vride	NA.Masc.Nom.Sg.*	vride	vride
was	VAFIN.Ind.Past.Sg.3	was	wësen
in	APPR	in	in
sînem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
lande	NA.Neut.Dat.Sg.st	lande	lant
,	$_	,	,
und	KON	und	unte
tet	VVFIN.*.Past.Sg.3	tet	tuon
ouch	AVD	ouch	ouch
niewan	AVD	niuwan	niuwan
daz	DDART.Neut.Akk.Sg.*	daz	dër
beste	ADJA.Sup.Neut.Akk.Sg.wk	bezziste	bèzzist
.	$_	.	.
	
swaz	PG.Neut.Akk.Sg.st	swaz	swër
er	PPER.Masc.Nom.Sg.3	er	ër
ze	APPR	ze	ze
tugende	NA.Fem.Dat.Sg.st	tugende	tugende
weste	VVFIN.*.Past.Sg.3	weste	wizzen
,	$_	,	,
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	DPOSA	sîn	sîn
herze	NA.Neut.Nom.Sg.wk	herze	hërze
ger	NA.Fem.Nom.Sg.*	ger	gëre
.	$_	.	.
	
ez	PPER.Neut.Akk.Sg.3	ez	ër
gelebete	VVFIN.*.Past.Sg.3	gelebete	gelëben
hôher	ADJA.Pos.Masc.Nom.Sg.st	hôher	hôh
künec	NA.Masc.Nom.Sg.st	küninc	küning
niemêr	AVD	niemer	nièmer
sô	AVD	sô	sô
hêrlîch	ADJD.Pos	hêrlich	hêrlich
noch	KON	noch	noh
sô	AVD	sô	sô
schône	AVD	schône	schône
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
warp	VVFIN.Ind.Past.Sg.3	warp	wërben
nâch	APPR	nâch	nâh
prîses	NA.Masc.Gen.Sg.st	prîses	prîs
lône	NA.Masc,Neut.Dat.Sg.st	lône	lôn
noch	AVD	noch	noh
mêr	ADJA.Comp.Neut.Akk.Sg.*	mêr	mêre
danne	KOUS	danne	danne
ie	AVD	ie	iè
künec	NA.Masc.Nom.Sg.st	küninc	küning
getaete	VVFIN.*.Past.Sg.3	getete	getuon
.	$_	.	.
	
dar	PAVD	dâr	dâr
an	PAVAP	an	ane
was	VAFIN.Ind.Past.Sg.3	was	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
sô	AVD	sô	sô
staete	ADJD.Pos	stæte	stæte
,	$_	,	,
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
im	PPER.Masc.Dat.Sg.3	im	ër
niwan	AVD	niuwan	niuwan
êren	NA.Fem.Gen.Pl.*	êren	êre
jach	VVFIN.Ind.Past.Sg.3	jach	jëhen
alles	DIS.Neut.Akk.Sg.st	allez	all
daz	DRELS.Neut.Nom.Sg	daz	dër
im	PPER.Masc.Dat.Sg.3	im	ër
ie	AVD	ie	iè
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
.	$_	.	.
	
sîner	DPOSA.*.Gen.Pl.st	sîner	sîn
ougen	NA.Neut.Gen.Pl.wk	ougen	ouge
spiegel	NA.Masc.Nom.Sg.st	spiegel	spiègel
was	VAFIN.Ind.Past.Sg.3	was	wësen
diu	DDART.Fem.Nom.Sg.*	diu	dër
zuht	NA.Fem.Nom.Sg.st	zuht	zuht
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
hete	VAFIN.*.Past.Sg.3	hæte	haben
diu	DDART.Fem.Nom.Sg.*	diu	dër
êre	NA.Fem.Nom.Sg.*	êre	êre
zuo	APPR	zuo	ze
im	PPER.Masc.Dat.Sg.3	im	ër
vluht	NA.Fem.Akk.Sg.st	vluht	vluht
und	KON	und	unte
minnet	VVFIN.*.Past.Sg.3	minnete	minnen
in	PPER.Masc.Akk.Sg.3	in	ër
naht	NA.Fem.Akk.Sg.st	naht	naht
unde	KON	unde	unte
tac	NA.Masc.Akk.Sg.st	tac	tag
durchdaz	KOUS	durch_daz	durh_dazz
er	PPER.Masc.Nom.Sg.3	er	ër
ir	PPER.Fem.Gen.Sg.3	ir	ër
sô	AVD	sô	sô
schône	AVD	schône	schône
pflac	VVFIN.Ind.Past.Sg.3	pflac	pflëgen
.	$_	.	.
	
alsô	AVD	alsô	allsô
pflac	VVFIN.Ind.Past.Sg.3	pflac	pflëgen
er	PPER.Masc.Nom.Sg.3	er	ër
der	DDART.Fem.Gen.Sg.*	der	dër
tugende	NA.Fem.Gen.Sg.st	tugende	tugende
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
nie	AVD	nie	niè
guot	ADJD.Pos	guot	guot
deheinz	DIS.Neut.Nom.Sg.st	decheinez	dehèin
verspart	VVPP	verspart	verspèrren
,	$_	,	,
ern	PPER.Masc.Nom.Sg.3|PTKNEG	er|ne	ër|ne
gaebe	VVFIN.Subj.Past.Sg.3	gæbe	gëben
ez	PPER.Neut.Akk.Sg.3	ez	ër
swer	PG.Masc.Nom.Sg.st	swer	swër
ez	PPER.Neut.Akk.Sg.3	ez	ër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
warp	VVFIN.Ind.Past.Sg.3	warp	wërben
nâch	APPR	nâch	nâh
reinem	ADJA.Pos.Masc.Dat.Sg.st	reinem	rèine
solde	NA.Masc.Dat.Sg.st	solde	sold
und	KON	und	unte
nâch	APPR	nâch	nâh
tugentlîchem	ADJA.Pos.Masc,Neut.Dat.Sg.st	tugentlîchem	tugendlich
lobe	NA.Masc,Neut.Dat.Sg.st	lobe	lob
.	$_	.	.
	
sîn	DPOSA.Masc,Neut.Nom.Sg.*	sîn	sîn
lop	NA.Masc,Neut.Nom.Sg.st	lop	lob
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
allen	DIA.*.Dat.Pl.st	allen	all
künegen	NA.Masc.Dat.Pl.st	küningen	küning
obe	APPR	obe	obe
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
dâ	AVD	dâ	dâr
lebten	VVFIN.*.Past.Pl.3	lebeten	lëben
bî	APPR	bî	bî
den	DDART.*.Dat.Pl.*	den	dër
tagen	NA.Masc.Dat.Pl.st	tagen	tag
.	$_	.	.
	
swaz	PG.Neut.Akk.Sg.st	swaz	swër
ich	PPER.*.Nom.Sg.1	ich	ich
ie	AVD	ie	iè
hôrte	VVFIN.*.Past.Sg.1	hôrte	hoèren
sagen	VVINF	sagen	sagen
von	APPR	von	von
tugenden	NA.Fem.Dat.Pl.*	tugenden	tugende
und	KON	und	unte
von	APPR	von	von
wirdikeit	NA.Fem.Dat.Sg.st	wirdicheit	wirdighèit
,	$_	,	,
dâ	PAVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
