None	NA.Fem.Nom.Sg.*	nône	nône
ez	PPER.Neut.Nom.Sg.3	ez	ër
wuohs	VVFIN.Ind.Past.Sg.3	wuohs	wahsen
in	APPR	in	in
kunstenopel	NE.Nom.Sg	Cunstenopel	Kunstenopel
ein	DIART.Masc.Nom.Sg.*	ein	èin
junger	ADJA.Pos.Masc.Nom.Sg.st	junger	jung
künic	NA.Masc.Nom.Sg.st	küninc	küning
rîch	ADJN.Masc.Nom.Sg.*	rîche	rîche
,	$_	,	,
gewaltec	ADJN.Masc.Nom.Sg.*	gewaltic	gewaltig
unde	KON	unde	unte
biderbe	ADJN.Masc.Nom.Sg.wk	biderbe	bidèrbe
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
hugdietrîch	NE.Nom.Sg	Hugdieterîch	Hugdietrîch
.	$_	.	.
	
ûf	PTKVZ	ûf	ûf
von	APPR	von	von
kindes	NA.Neut.Gen.Sg.st	kindes	kind
jugent	NA.Fem.Dat.Sg.st	jugent	jugend
kund	VMFIN.Ind.Past.Sg.3	kunde	kunnen
der	DDART.Masc.Nom.Sg.*	der	dër
helt	NA.Masc.Nom.Sg.st	helt	hèled
wol	AVD	wole	wole
leben	VVINF	leben	lëben
,	$_	,	,
durch	APPR	durch	durh
got	NA.Masc.Akk.Sg.st	got	got
und	KON	und	unte
durch	APPR	durch	durh
êre	NA.Fem.Akk.Sg.st	êre	êre
beidiu	KON	beidiu	bèide
lîhen	VVINF	lîhen	lîhen
unde	KON	unde	unte
geben	VVINF	geben	gëben
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
klein	ADJD.Pos	kleine	klèine
an	APPR	an	ane
dem	DDART.Masc.Dat.Sg.*	dem	dër
lîbe	NA.Masc.Dat.Sg.st	lîbe	lîb
,	$_	,	,
wol	AVD	wole	wole
geschaffen	VVPP	geschaffen	schèpfen
über	APPR	über	über
al	AVD	al	al
,	$_	,	,
gedrol	NA.Masc,Neut.Akk.Sg.st	gedrol	gedrol
alse	KO*	alse	allsô
ein	DIART	ein	èin
kerze	NA.Fem.Nom.Sg.*	kerze	kèrze
über	APPR	über	über
die	DDART.Fem.Akk.Sg.*	die	dër
hüffe	NA.Fem.Akk.Sg.st	hüffe	hüffe
hin	AVD	hin	hine
zetal	APPR|NA.Masc,Neut.Dat.Sg.st	ze|tal	ze|tal
.	$_	.	.
	
sîn	DPOSA.Neut.Nom.Sg.*	sîn	sîn
hâr	NA.Neut.Nom.Sg.st	hâr	hâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
im	PPER.Masc.Dat.Sg.3	im	ër
reide	ADJD.Pos	reide	rèide
,	$_	,	,
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
lanc	ADJD.Pos	lanc	lang
unt	KON	und	unte
val	ADJD.Pos	val	valw
:	$_	:	:
ez	PPER.Neut.Nom.Sg.3	ez	ër
gienc	VVFIN.Ind.Past.Sg.3	gienc	gân
im	PPER.Masc.Dat.Sg.3	im	ër
über	APPR	über	über
die	DDART.Fem.Akk.Sg.*	die	dër
ahsel	NA.Fem.Akk.Sg.st	ahsel	ahsele
ûf	APPR	ûf	ûf
die	DDART.Fem.Akk.Sg.*	die	dër
hüffe	NA.Fem.Akk.Sg.st	hüffe	hüffe
hin	AVD	hin	hine
zetal	APPR|NA.Masc,Neut.Dat.Sg.st	ze|tal	ze|tal
.	$_	.	.
	
sîn	DPOSA.Masc.Nom.Sg.*	sîn	sîn
vater	NA.Masc.Nom.Sg.st	vater	vater
was	VAFIN.Ind.Past.Sg.3	was	wësen
geheizen	VVPP	geheizen	hèizen
der	DDART.Masc.Nom.Sg.*	der	dër
künic	NA.Masc.Nom.Sg.st	küninc	küning
antzîus	NE.Nom.Sg	Antius	Anzius
,	$_	,	,
ein	DIART.Masc.Nom.Sg.*	ein	èin
künec	NA.Masc.Nom.Sg.st	küninc	küning
in	APPR	in	in
kriechenlande	NE.Dat.Sg	Kriechenlande	Krièchenlant
.	$_	.	.
	
