rîchiu	ADJA.Pos.Fem.Nom.Sg.st	rîchiu	rîche
saelde	NA.Fem.Nom.Sg.*	sælde	sælede
,	$_	,	,
hôher	ADJD.Pos	hôher	hôh
sin	NA.Masc.Nom.Sg.st	sin	sinn
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
von	APPR	von	von
gote	NA.Masc.Dat.Sg.st	gote	got
ein	DIART	ein	èin
grôz	ADJA.Pos	grôz	grôz
gewin	NA.Masc.Nom.Sg.st	gewin	gewinn
den	DRELS.Masc.Akk.Sg	den	dër
got	NA.Masc.Nom.Sg.st	got	got
alsô	AVD	alsô	allsô
besinnet	VVFIN.Ind.Pres.Sg.3	besinnet	besinnen
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
saelde	NA.Fem.Akk.Sg.st	sælde	sælede
gewinnet	VVFIN.Ind.Pres.Sg.3	gewinnet	gewinnen
.	$_	.	.
	
ûf	APPR	ûf	ûf
hôhe	ADJA.Pos.Fem.Akk.Sg.st	hôhe	hôh
kunst	NA.Fem.Akk.Sg.st	kunst	kunst
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ahte	NA.Fem.Nom.Sg.*	âhte	âhte
niht	NA.Neut.Nom.Sg.st	niht	niht
,	$_	,	,
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
si	PPER.Fem.Nom.Sg.3	si	ër
sunder	APPR	sunder	sunter
saelden	NA.Fem.Gen.Pl.*	sælden	sælede
phliht	NA.Fem.Nom.Sg.st	pfliht	pflihte
,	$_	,	,
sô	AVD	sô	sô
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
si	PPER.Fem.Nom.Sg.3	si	ër
gar	AVD	gar	gare
vernihtet	VVPP	vernihtet	vernihten
,	$_	,	,
ob	KOUS	ob	obe
saelde	NA.Fem.Nom.Sg.*	sælde	sælede
ir	PPER.Fem.Dat.Sg.3	ir	ër
niht	PTKNEG	niht	niht
zuo	PTKVZ	zuo	zuo
phlihtet	VVFIN.Ind.Pres.Sg.3	pflihtet	pflihten
.	$_	.	.
	
orthabunge	NA.Fem.Nom.Sg.*	orthabunge	orthabunge
rehter	ADJA.Pos.Fem.Gen.Sg.st	rehter	rëht
kunst	NA.Fem.Gen.Sg.st	kunst	kunst
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
saelden	NA.Fem.Gen.Pl.*	sælden	sælede
heil	NA.Neut.Nom.Sg.st	heil	hèil
,	$_	,	,
gelückes	NA.Neut.Gen.Sg.st	gelückes	gelücke
gunst	NA.Fem.Nom.Sg.st	gunst	gunst
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
sî	PPER.Fem.Akk.Sg.3	si	ër
nâch	APPR	nâch	nâh
saelden	NA.Fem.Dat.Pl.*	sælden	sælede
werben	VVINF	werben	wërben
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
got	NA.Masc.Nom.Sg.st	got	got
gelückes	NA.Neut.Gen.Sg.st	gelückes	gelücke
gan	VVFIN.Ind.Pres.Sg.3	gan	gunnen
.	$_	.	.
	
der	DDART.Fem.Gen.Sg.*	der	dër
kunst	NA.Fem.Gen.Sg.st	kunst	kunst
geleite	NA.*.Nom.Sg.st	geleite	gelèite
saelde	NA.Fem.Akk.Sg.st	sælde	sælede
treit	VVFIN.Ind.Pres.Sg.3	treit	tragen
.	$_	.	.
	
swer	PG.Masc.Nom.Sg.st	swer	swër
iht	AVD	iht	iht
tihtet	VVFIN.Ind.Pres.Sg.3	tihtet	tihten
oder	KON	oder	oder
seit	VVFIN.Ind.Pres.Sg.3	seit	sagen
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
muoz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
kunst	NA.Fem.Akk.Sg.st	kunst	kunst
bî	APPR	bî	bî
saelden	NA.Fem.Dat.Pl.*	sælden	sælede
tragn	VVINF	tragen	tragen
odr	KON	oder	oder
sîn	DPOSA	sîn	sîn
kunst	NA.Fem.Nom.Sg.st	kunst	kunst
der	DDART.Fem.Gen.Sg.*	der	dër
saelde	NA.Fem.Gen.Sg.st	sælde	sælede
entsagn	VVINF	<unknown>	entsagen
ofte	AVD	ofte	ofte
ergât	VVFIN.Ind.Pres.Sg.3	ergât	ergân
ouch	AVD	ouch	ouch
diu	DDART.Fem.Nom.Sg.*	diu	dër
geschiht	NA.Fem.Nom.Sg.st	geschiht	geschiht
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
den	DDART.*.Dat.Pl.*	den	dër
künste	NA.Fem.Akk.Pl.st	künste	kunst
rîchen	ADJA.Pos.Masc.Akk.Sg.*	rîchen	rîche
siht	VVFIN.Ind.Pres.Sg.3	sihet	sëhen
dem	DRELS.Masc.Dat.Sg	dem	dër
selten	AVD	selten	sëltene
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
daz	DDART.Neut.Nom.Sg.*	daz	dër
heil	NA.Neut.Nom.Sg.st	heil	hèil
geschehn	VVPP	geschehen	geschëhen
daz	KOUS	daz	dazz
sîn	DPOSA	sîn	sîn
kunst	NA.Fem.Nom.Sg.st	kunst	kunst
saelec	ADJD.Pos	sælic	sælig
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
gesehn	VVPP	gesehen	sëhen
.	$_	.	.
	
lobelich	ADJA.Pos.Neut.Nom.Sg.*	lobelich	lobelich
guot	ADJA.Pos.Neut.Nom.Sg.*	guot	guot
getihte	NA.Neut.Nom.Sg.st	getihte	getihte
daz	DDS.Neut.Nom.Sg.*	daz	dër
vindet	VVFIN.Ind.Pres.Sg.3	vindet	vinden
ie	AVD	ie	iè
die	DDART.Fem.Akk.Sg.*	die	dër
rihte	NA.Fem.Akk.Sg.st	rihte	rihte
,	$_	,	,
als	KO*	als	allsô
ez	PPER.Neut.Akk.Sg.3	ez	ër
diu	DDART.Fem.Nom.Sg.*	diu	dër
saelde	NA.Fem.Nom.Sg.*	sælde	sælede
tihtet	VVFIN.Ind.Pres.Sg.3	tihtet	tihten
und	KON	und	unte
ez	DDART.Neut.Nom.Sg.*	daz	dër
gelücke	NA.Neut.Akk.Sg.st	gelücke	gelücke
rihtet	VVFIN.Ind.Pres.Sg.3	rihtet	rihten
.	$_	.	.
	
florieret	VVFIN.Ind.Pres.Sg.3	flôrieret	flôrièren
saeldekunst	NA.Fem.Nom.Sg.st	sældekunst	sæledekunst
ir	DPOSA	ire	ire
kraft	NA.Fem.Akk.Sg.st	kraft	kraft
,	$_	,	,
sô	AVD	sô	sô
edelt	VVFIN.Ind.Pres.Sg.3	edelt	èdelen
sich	PRF.Akk.*.*	sich	sich
diu	DDART.Fem.Nom.Sg.*	diu	dër
meisterschaft	NA.Fem.Nom.Sg.st	meisterschaft	mèisterschaft
und	KON	und	unte
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
diu	DDART.Fem.Nom.Sg.*	diu	dër
kunst	NA.Fem.Nom.Sg.st	kunst	kunst
gekreftet	VVPP	gekreftet	krèften
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
sin	NA.Masc.Nom.Sg.st	sin	sinn
gemeisterscheftet	VVFIN.Ind.Pres.Sg.3	gemeisterscheftet	gemèisterschèften
.	$_	.	.
	
nû	AVD	nû	nû
was	VAFIN.Ind.Past.Sg.1	was	wësen
ich	PPER.*.Nom.Sg.1	ich	ich
,	$_	,	,
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
eht	AVD	eht	ëht
noch	AVD	noch	noh
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
,	$_	,	,
als	AVD	als	allsô
gemuot	ADJD.Pos	gemuot	gemuot
