swer	PG.Masc.Nom.Sg.st	swer	swër
siner	DPOSA.Fem.Gen.Sg.st	sîner	sîn
kunst	NA.Fem.Gen.Sg.st	kunst	kunst
meister	NA.Masc.Nom.Sg.st	meister	mèister
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
der	DDS.Masc.Nom.Sg.*	der	dër
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
gewalt	NA.Fem,Masc.Akk.Sg.st	gewalt	gewalt
an	APPR	an	ane
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
list	NA.Fem.Dat.Sg.st	list	list
der	DDS.Masc.Nom.Sg.*	der	dër
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
si	PPER.Fem.Akk.Sg.3	si	ër
bekeren	VVINF	bekêren	bekêren
minren	VVINF	minneren	minneren
und	KON	und	unte
meren	VVINF	mêren	mêren
witen	AVD	wîten	wîtene
und	KON	und	unte
engen	VVINF	engen	èngen
kurtzen	VVINF	kurzen	kürzen
und	KON	und	unte
lengen	VVINF	lengen	lèngen
des	DDS.Neut.Gen.Sg.*	des	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
der	DDART.Masc.Nom.Sg.*	der	dër
tichtere	NA.Masc.Nom.Sg.st	tihtære	tihtære
wise	ADJD.Pos	wîse	wîse
und	KON	und	unte
gewere	ADJD.Pos	gewære	gewære
der	DRELS.Masc.Nom.Sg	der	dër
sich	PRF.Akk.*.*	sich	sich
so	AVD	sô	sô
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
behut	VVPP	behuot	behüèten
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
ane	APPR	âne	âne
ubermut	NA.Masc.Akk.Sg.st	übermuot	übermuot
siner	DPOSA.Fem.Gen.Sg.st	sîner	sîn
kunst	NA.Fem.Gen.Sg.st	kunst	kunst
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
gewalt	NA.Fem,Masc.Akk.Sg.st	gewalt	gewalt
wenne	KO*	wenne	wante
der	DDART.Masc.Nom.Sg.*	der	dër
ungelerte	ADJA.Pos.Masc.Nom.Sg.wk	ungelêrte	ungelêret
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
balt	ADJD.Pos	balt	bald
und	KON	und	unte
wenet	VVFIN.Ind.Pres.Sg.3	wænet	wænen
von	APPR	von	von
der	DDART.Fem.Dat.Sg.*	der	dër
warheit	NA.Fem.Dat.Sg.st	wârheit	wârhèit
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
habe	VAFIN.Subj.Pres.Sg.3	habe	haben
wisheit	NA.Fem.Akk.Sg.st	wîsheit	wîshèit
doch	AVD	doch	doh
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
er	PPER.Masc.Nom.Sg.3	er	ër
unbereitet	ADJD.Pos	unbereitet	unberèitet
swenne	AVG	swenne	swanne
in	PPER.Masc.Akk.Sg.3	in	ër
sin	DPOSA	sîn	sîn
kunst	NA.Fem.Nom.Sg.st	kunst	kunst
leitet	VVFIN.Ind.Pres.Sg.3	leitet	lèiten
und	KON	und	unte
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
nicht	PTKNEG	niht	niht
bewaren	VVINF	bewaren	bewaren
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
daz	DDS.Neut.Akk.Sg.*	daz	dër
zuhe	VVFIN.*.Pres.Sg.1	ziehe	zièhen
ich	PPER.*.Nom.Sg.1	ich	ich
an	APPR	an	ane
den	DDART.Masc.Akk.Sg.*	den	dër
blinden	ADJA.Pos.Masc.Akk.Sg.*	blinden	blint
man	NA.Masc.Akk.Sg.st	man	mann
er	PPER.Masc.Nom.Sg.3	er	ër
ergriffe	VVFIN.Subj.Pres.Sg.3	ergrîfe	ergrîfen
da	AVD	dâ	dâr
er	PPER.Masc.Nom.Sg.3	er	ër
wec	NA.Masc.Akk.Sg.st	wec	wëg
habe	VAFIN.Subj.Pres.Sg.3	habe	haben
ich	PPER.*.Nom.Sg.1	ich	ich
denke	VVFIN.*.Pres.Sg.1	denke	dènken
des	DDS.Neut.Gen.Sg.*	des	dër
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
besnabe	VVFIN.Subj.Pres.Sg.3	besnabe	besnaben
der	DDART.Masc.Nom.Sg.*	der	dër
blinde	ADJA.Pos.Masc.Nom.Sg.wk	blinde	blint
siht	VVFIN.Ind.Pres.Sg.3	sihet	sëhen
