swen	PG.Masc.Akk.Sg.st	swen	swër
got	NA.Masc.Nom.Sg.st	got	got
alsô	AVD	alsô	allsô
getiuret	VVPP	getiuret	tiuren
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
daz	KOUS	daz	dazz
gar	AVD	gar	gare
sîn	DPOSA	sîn	sîn
sin	NA.Masc.Nom.Sg.st	sin	sinn
ze	APPR	ze	ze
tugenden	NA.Fem.Dat.Pl.*	tugenden	tugende
stât	VVFIN.Ind.Pres.Sg.3	stât	stân
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
den	DDS.*.Dat.Pl.*	den	dër
genâde	NA.Fem.Akk.Sg.st	genâde	genâde
sagen	VVINF	sagen	sagen
die	DRELS.*.Nom.Pl	die	dër
beidiu	KON	beidiu	bèide
singen	VVINF	singen	singen
unde	KON	unde	unte
sagen	VVFIN.*.Pres.Pl.3	sagen	sagen
.	$_	.	.
	
dem	DDS.Masc.Dat.Sg.*	dem	dër
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
man	PI.*.Nom.Sg.st	man	man
vil	AVD	vile	vile
gerne	AVD	gerne	gërne
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
dâ	PAVD	dâ	dâr
bî	PAVAP	bî	bî
gelerne	VVFIN.Subj.Pres.Sg.3	gelerne	gelërnen
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
ze	APPR	ze	ze
gelîcher	ADJA.Pos.Fem.Dat.Sg.st	gelîcher	gelîch
wîs	NA.Fem.Dat.Sg.st	wîs	wîse
an	APPR	an	ane
allen	DIA.*.Dat.Pl.st	allen	all
dingen	NA.Neut.Dat.Pl.st	dingen	ding
guoten	ADJA.Pos.Masc.Akk.Sg.*	guoten	guot
prîs	NA.Masc.Akk.Sg.st	prîs	prîs
schône	AVD	schône	schône
künne	VMFIN.Subj.Pres.Sg.3	kunne	kunnen
bejagen	VVINF	bejagen	bejagen
,	$_	,	,
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
dicke	AVD	dicke	dicke
hoeret	VVFIN.Ind.Pres.Sg.3	hoeret	hoèren
sagen	VVINF	sagen	sagen
.	$_	.	.
	
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
wîsen	ADJA.Pos.*.Dat.Pl.*	wîsen	wîse
liuten	NA.Masc,Neut.Dat.Pl.st	liuten	liut
wesen	VAINF	wesen	wësen
bî	AVD	bî	bî
und	KON	und	unte
merken	VVINF	merken	mèrken
waz	PW.Neut.Nom.Sg.st	waz	wër
ir	DPOSA	ire	ire
lêre	NA.Fem.Nom.Sg.*	lêre	lêre
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
unde	KON	unde	unte
denken	VVFIN.*.Pres.Pl.3	denken	dènken
wol	AVD	wole	wole
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
des	DDART.Neut.Gen.Sg.*	des	dër
besten	ADJA.Sup.Neut.Gen.Sg.wk	bezzisten	bèzzist
vil	NA.Neut.Akk.Sg.st	vile	vile
getuo	VVFIN.Subj.Pres.Sg.3	getuo	getuon
,	$_	,	,
sô	AVD	sô	sô
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
sîn	DPOSA	sîn	sîn
leben	NA.Masc,Neut.Nom.Sg.st	leben	lëben
wünneclich	ADJD.Pos	wünniclich	wünniglich
;	$_	;	;
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
sô	AVD	sô	sô
behüeten	VVINF	behüeten	behüèten
sich	PRF.Akk.*.*	sich	sich
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
nihtes	NA.Neut.Gen.Sg.st	nihtes	niht
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
ze	PTKA	ze	ze
vil	AVD	vile	vile
,	$_	,	,
swaz	PG.Neut.Nom.Sg.st	swaz	swër
im	PPER.Masc.Dat.Sg.3	im	ër
kume	VVFIN.Subj.Pres.Sg.3	kume	komen
an	APPR	an	ane
daz	DDART.Neut.Akk.Sg.*	daz	dër
