o	ITJ	ô	ô
got	NA.Masc.Nom.Sg.st	got	got
und	KON	und	unte
herr	NA.Masc.Nom.Sg.*	hêrr	hêrre
allmächtig	ADJN	almehtic	allmèhtig
,	$_	,	,
deiner	DPOSA.*.Gen.Pl.st	dîner	dîn
wunder	NA.Neut.Gen.Pl.st	wunder	wunter
manigvalt	ADJD.Pos	manicvalt	manigvalt
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
nie	AVD	nie	niè
kain	DIA	kein	kèin
herz	NA.Neut.Nom.Sg.wk	herze	hërze
erträchtig	ADJD.Pos	ertrahtic	ertrèhtig
.	$_	.	.
	
tausent	ADJA.Pos.Neut.Nom.Pl.*	tûsent	tûsent
mal	NA.Neut.Nom.Pl.st	mâl	mâl
macht	VMFIN.*.Past.Sg.3	mahte	mügen
wol	AVD	wole	wole
werden	VAINF	werden	wërden
ee	AVD	êr	êr
gezalt	VVPP	gezalt	zèlen
laub	NA.Neut.Nom.Sg.st	loup	loub
,	$_	,	,
gries	NA.Masc.Gen.Sg.st	grîes	grièz
,	$_	,	,
steren	NA.Masc.Nom.Pl.st	steren	stër
und	KON	und	unte
tropfen	NA.Masc.Nom.Pl.wk	tropfen	tropfe
aller	DIA.*.Gen.Pl.st	aller	all
unnde	KON	unde	unte
,	$_	,	,
eedas	KO*	ê_daz	ê_dazz
dein	DPOSA.Fem.Nom.Sg.*	dîn	dîn
weyshait	NA.Fem.Nom.Sg.st	wîsheit	wîshèit
ungemess	NA.Neut.Gen.Sg.st	ungemesses	ungemëzze
engel	NA.Masc.Nom.Sg.st	engel	èngel
noch	KON	noch	noh
mensch	NA.Masc,Neut.Nom.Sg.st	mennische	mènnische
ymmer	AVD	iemer	ièmer
ersynnen	VVINF	ersinnen	ersinnen
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
.	$_	.	.
	
seid	VVIMP.Pl.2	seit	sagen
uns	PPER.*.Dat.Pl.1	uns	wir
so	AVD	sô	sô
hochgeobet	VVPP	hôchgebet	hôhgeobeten
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
,	$_	,	,
diss	DDS.Neut.Gen.Sg.*	dises	dise
alls	AVD	als	allsô
zu	APPR	zuo	ze
erspüren	VVPP	erspuoren	ersprin
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
dein	DPOSA	dîn	dîn
nam	NA.Masc.Nom.Sg.*	name	name
gelobet	VVPP	gelobet	loben
.	$_	.	.
	
den	DDS.Masc.Akk.Sg.*	den	dër
zennter	VVFIN.Ind.Past.Sg.3|PPER.Masc.Nom.Sg.3	zente|er	<unknown>
,	$_	,	,
abgrundt	NA.Neut.Nom.Sg.st	apgründe	abgrünte
mag	VMFIN.Ind.Pres.Sg.3	mac	mügen
dein	PPER.*.Gen.Sg.2	dîn	dû
macht	NA.Fem.Nom.Sg.st	maht	maht
wol	AVD	wole	wole
rüeren	VVINF	rüeren	rüèren
.	$_	.	.
	
die	DDART.*.Nom.Pl.*	die	dër
firmament	NA.Masc.Nom.Pl.st	firmamende	firmamënt
,	$_	,	,
wie	AVW	wie	wiè
die	DDS.*.Nom.Pl.*	die	dër
von	APPR	von	von
stat	NA.Fem.Dat.Sg.st	stat	stat
sich	PRF.Akk.*.*	sich	sich
heben	VVFIN.*.Pres.Pl.3	heben	hèben
(	$_	(	(
das	DDS.Neut.Akk.Sg.*	daz	dër
hastu	VAFIN.*.Pres.Sg.2|PPER.*.Nom.Sg.2	hâs|dû	haben|dû
alls	DID.Neut.Akk.Sg.st	allez	all
gemaistert	VVPP	gemeistert	mèisteren
gar	AVD	gar	gare
)	$_	)	)
,	$_	,	,
wie	AVW	wie	wiè
die	DDART.*.Nom.Pl.*	die	dër
planeten	NA.Masc.Nom.Pl.wk	plânêten	plânête
siben	CARDA	siben	siben
dargen	NA.Fem.Akk.Pl.st	dargen	darg
streben	VVFIN.*.Pres.Pl.3	streben	strëben
,	$_	,	,
wie	AVW	wie	wiè
menschliche	ADJA.Pos.*.Nom.Pl.st	mennischlîche	mènnischlich
figure	NA.Fem.Nom.Sg.*	figûre	figûre
von	APPR	von	von
der	DDART.*.Gen.Pl.*	der	dër
planeten	NA.Masc.Gen.Pl.wk	plânêten	plânête
kraft	NA.Fem.Dat.Sg.st	kraft	kraft
hand	NA.Fem.Nom.Sg.st	hant	hant
wesen	NA.Neut.Akk.Sg.st	wesen	wësen
und	KON	und	unte
nature	NA.Fem.Nom.Sg.*	natûre	natûre
,	$_	,	,
das	DDS.Neut.Akk.Sg.*	daz	dër
schaffet	VVFIN.Ind.Pres.Sg.3	schaffet	schaffen
,	$_	,	,
herr	NA.Masc.Nom.Sg.*	hêrr	hêrre
,	$_	,	,
gar	AVD	gar	gare
ain	DIART	ein	èin
dein	DPOSA	dîn	dîn
maisterschaft	NA.Fem.Akk.Sg.st	meisterschaft	mèisterschaft
,	$_	,	,
wie	AVW	wie	wiè
diser	DDS.Masc.Nom.Sg.*	diser	dise
so	AVD	sô	sô
