None	NA.Fem.Nom.Sg.*	nône	nône
ûf	APPR	ûf	ûf
kunstenobel	NE.Akk.Sg	Cunstenobel	Kunstenobel
ze	APPR	ze	ze
kriechen	NA.Masc.Dat.Pl.*	Kriechen	Krièche
ein	DIART	ein	èin
gewalteger	ADJA.Pos.Masc.Nom.Sg.st	gewaltiger	gewaltig
künic	NA.Masc.Nom.Sg.st	küninc	küning
saz	VVFIN.Ind.Past.Sg.3	saz	sitzen
.	$_	.	.
	
an	APPR	an	ane
dem	DDART.Masc.Dat.Sg.*	dem	dër
tugent	NA.Masc.Dat.Sg.st	tugent	tugend
noch	KON	noch	noh
êre	NA.Fem.Nom.Sg.*	êre	êre
noch	KON	noch	noh
manheit	NA.Fem.Dat.Sg.st	manheit	mannhèit
nie	AVD	nie	niè
vergaz	VVFIN.Ind.Past.Sg.3	vergaz	vergëzzen
sîn	DPOSA	sîn	sîn
meister	NA.Masc.Nom.Sg.st	meister	mèister
und	KON	und	unte
sîn	DPOSA	sîn	sîn
schepfer	NA.Masc.Nom.Sg.st	schepfær	schèpfære
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
in	PPER.Masc.Akk.Sg.3	in	ër
dâ	AVD	dâ	dâr
werden	VAINF	werden	wërden
liez	VVFIN.Ind.Past.Sg.3	liez	lâzen
.	$_	.	.
	
an	APPR	an	ane
im	PPER.Masc.Dat.Sg.3	im	ër
gebrast	VVFIN.Ind.Past.Sg.3	gebrast	gebrësten
niht	NA.Neut.Nom.Sg.st	niht	niht
mêre	AVD.Comp	mêre	mêre
wandaz	KOUS	wan_daz	wan_dazz
er	PPER.Masc.Nom.Sg.3	er	ër
ein	DIART.Masc.Nom.Sg.*	ein	èin
heiden	NA.Masc.Nom.Sg.st	heiden	hèiden
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
.	$_	.	.
	
im	PPER.Masc.Dat.Sg.3	im	ër
dienten	VVFIN.*.Past.Pl.3	dienten	diènen
durch	APPR	durch	durh
kriechen	NA.Masc.Akk.Pl.*	Kriechen	Krièche
der	DDART.*.Gen.Pl.*	der	dër
bulgerîe	NA.Masc.Gen.Pl.st	bulgerîme	bulgerî
walt	NA.Masc.Nom.Sg.st	walt	wald
:	$_	:	:
von	APPR	von	von
hiunischem	ADJA.Pos.Neut.Dat.Sg.st	hiunischem	hiunisch
gemerke	NA.Neut.Dat.Sg.st	gemerke	gemèrke
betwanc	VVFIN.Ind.Past.Sg.3	betwanc	bedwingen
ez	PPER.Neut.Akk.Sg.3	ez	ër
sîn	DPOSA	sîn	sîn
gewalt	NA.Fem,Masc.Nom.Sg.st	gewalt	gewalt
.	$_	.	.
	
im	PPER.Masc.Dat.Sg.3	im	ër
dienten	VVFIN.*.Past.Pl.3	dienten	diènen
mit	APPR	mit	mit
gewalte	NA.Fem,Masc.Dat.Sg.st	gewelte	gewalt
kriechischiu	ADJA.Pos.Neut.Nom.Pl.st	kriechischiu	krièchisch
künicrîch	NA.Neut.Nom.Pl.st	künincrîche	küningrîche
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
saz	VVFIN.Ind.Past.Sg.3	saz	sitzen
ûf	APPR	ûf	ûf
kunstenobele	NE.Dat.Sg	Cunstenobele	Kunstenobel
und	KON	und	unte
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
hêr	NA.Masc.Nom.Sg.*	hêrr	hêrre
