ez	PPER.Neut.Nom.Sg.3	ez	ër
wuohs	VVFIN.Ind.Past.Sg.3	wuohs	wahsen
in	APPR	in	in
irlande	NE.Dat.Sg	Irlande	Irlant
ein	DIART	ein	èin
rîcher	ADJA.Pos.Masc.Nom.Sg.st	rîcher	rîche
künic	NA.Masc.Nom.Sg.st	küninc	küning
hêr	ADJN	hêr	hêre
;	$_	;	;
geheizen	VVPP	geheizen	hèizen
was	VAFIN.Ind.Past.Sg.3	was	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
sigebant	NE.Nom.Sg	Sigebant	Sigeband
,	$_	,	,
sîn	DPOSA	sîn	sîn
vater	NA.Masc.Nom.Sg.st	vater	vater
der	DDS.Masc.Nom.Sg.*	der	dër
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
gêr	NE.Nom.Sg	Gêr	Gêr
,	$_	,	,
sîn	DPOSA.Fem.Nom.Sg.*	sîn	sîn
muoter	NA.Fem.Nom.Sg.st	muoter	muoter
diu	DDS.Fem.Nom.Sg.*	diu	dër
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
uote	NE.Nom.Sg	Voite	Vote
und	KON	und	unte
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
küneginne	NA.Fem.Nom.Sg.*	küninginne	küninginne
.	$_	.	.
	
durch	APPR	durch	durh
ir	DPOSA.Fem.Akk.Sg.*	ire	ire
hôhe	ADJA.Pos.Fem.Akk.Pl.st	hôhe	hôh
tugende	NA.Fem.Akk.Pl.st	tugende	tugende
sô	AVD	sô	sô
gezam	VVFIN.Ind.Past.Sg.3	gezam	gezëmen
dem	DDART.Masc.Dat.Sg.*	dem	dër
rîchen	ADJA.Pos.Masc.Dat.Sg.wk	rîchen	rîche
wol	AVD	wole	wole
ir	DPOSA.Fem.Nom.Sg.*	ire	ire
minne	NA.Fem.Nom.Sg.*	minne	minne
.	$_	.	.
	
gêre	VVIMP.Sg.2	geêre	geêren
dem	DDART.Masc.Dat.Sg.*	dem	dër
rîchen	ADJA.Pos.Masc.Dat.Sg.wk	rîchen	rîche
künige	NA.Masc.Dat.Sg.st	küninge	küning
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
wol	AVD	wole	wole
erkant	VVPP	erkant	erkènnen
,	$_	,	,
dienten	VVFIN.*.Past.Pl.3	dienten	diènen
vil	NA.Neut.Nom.Sg.st	vile	vile
der	DDART.*.Gen.Pl.*	der	dër
bürge	NA.Fem.Gen.Pl.st	bürge	burg
;	$_	;	;
er	PPER.Masc.Nom.Sg.3	er	ër
hêt	VAFIN.*.Past.Sg.3	hæte	haben
siben	CARDA	siben	siben
fürsten	NA.Masc.Gen.Pl.wk	vürsten	vürste
lant	NA.Neut.Akk.Pl.st	lant	lant
.	$_	.	.
	
dar	PAVD	dâr	dâr
inne	PAVAP	inne	inne
hêt	VAFIN.*.Past.Sg.3	hæte	haben
er	PPER.Masc.Nom.Sg.3	er	ër
recken	NA.Masc.Akk.Pl.wk	recken	rècke
vier	CARDA.Neut.Akk.Pl.*	vier	vièr
tûsent	ADJS.Pos.Neut.Akk.Pl.*	tûsent	tûsent
oder	KON	oder	oder
mêre	ADJA.Comp.Neut.Akk.Sg.wk	mêre	mêre
,	$_	,	,
dâ	PAVD	dâ	dâr
