ir	PPER.*.Nom.Pl.2	ir	ir
habet	VAFIN.*.Pres.Pl.2	habet	haben
wol	AVD	wole	wole
vernomen	VVPP	vernomen	vernëmen
daz	DDS.Neut.Akk.Sg.*	daz	dër
,	$_	,	,
wi	AVW	wie	wiè
der	DDART.Masc.Nom.Sg.*	der	dër
kunich	NA.Masc.Nom.Sg.st	küninc	küning
menelaus	NE.Nom.Sg	Menelaus	Menelaus
besaz	VVFIN.Ind.Past.Sg.3	besaz	besitzen
troien	NE.Akk.Sg	Trôjen	Trôja
die	DDART.*.Akk.Pl.*	die	dër
rîchen	ADJA.Pos.*.Akk.Pl.wk	rîchen	rîche
vil	AVD	vile	vile
gewaldechlîchen	AVD	gewalticlîchen	gewaltiglîche
,	$_	,	,
do	KOUS	dô	dô
er	PPER.Masc.Nom.Sg.3	er	ër
sie	PPER.*.Akk.Pl.3	sie	ër
zefûren	VVINF	zevüeren	zervüèren
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
dorch	APPR	durch	durh
pârîses	NE.Gen.Sg	Parîses	Parîs
scholde	NA.Fem.Akk.Sg.st	schulde	schulde
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
im	PPER.Masc.Dat.Sg.3	im	ër
sîn	DPOSA	sîn	sîn
wîb	NA.Neut.Akk.Sg.st	wîp	wîb
hete	VAFIN.*.Past.Sg.3	hæte	haben
genomen	VVPP	genomen	nëmen
.	$_	.	.
	
niht	PTKNEG	niht	niht
enwolder	PTKNEG|VMFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	en|wolte|er	ne|wèllen|ër
dannen	AVD	dannen	dannen
komen	VVINF	komen	komen
,	$_	,	,
ê	AVD	êr	êr
danne	AVD	danne	danne
er	PPER.Masc.Nom.Sg.3	er	ër
troien	NE.Akk.Sg	Trôjen	Trôja
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
.	$_	.	.
	
manech	DIA.Neut.Nom.Sg.*	manic	manig
wîb	NA.Neut.Nom.Sg.st	wîp	wîb
unde	KON	unde	unte
man	NA.Masc.Nom.Sg.st	man	mann
beleib	VVFIN.Ind.Past.Sg.3	beleip	belîben
dâ	AVD	dâ	dâr
