i	VVIMP.Sg.2	i	i
von	APPR	von	von
den	DDART.*.Dat.Pl.*	den	dër
nibelungen	NA.Masc.Dat.Pl.*	nibelungen	nibelunge
.	$_	.	.
	
uns	PPER.*.Dat.Pl.1	uns	wir
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
in	APPR	in	in
alten	ADJA.Pos.*.Dat.Pl.*	alten	alt
maeren	NA.Neut.Dat.Pl.st	mæren	mære
wunders	NA.Neut.Gen.Sg.st	wunders	wunter
vil	NA.Neut.Nom.Sg.st	vile	vile
geseit	VVPP	geseit	sagen
von	APPR	von	von
heleden	NA.Masc.Dat.Pl.st	heleden	hèled
lobebaeren	ADJN.*.Dat.Pl.*	lobebæren	lobebære
,	$_	,	,
von	APPR	von	von
grôzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
arebeit	NA.Fem.Dat.Sg.st	arbeit	arbèit
:	$_	:	:
von	APPR	von	von
freude	NA.Fem.Dat.Sg.st	vröuwede	vröuwede
und	KON	und	unte
hôchgezîten	NA.Fem,Neut.Dat.Pl.st	hôchgezîten	hôhgezît
,	$_	,	,
von	APPR	von	von
weinen	NA.Neut.Dat.Sg.wk	weinenne	wèinen
unde	KON	unde	unte
klagen	NA.Neut.Dat.Sg.wk	klagenne	klagen
,	$_	,	,
von	APPR	von	von
küener	ADJA.Pos.*.Gen.Pl.st	küener	küène
recken	NA.Masc.Gen.Pl.wk	recken	rècke
strîten	NA.Masc.Dat.Pl.st	strîten	strît
muget	VMFIN.*.Pres.Pl.2	müget	mügen
ir	PPER.*.Nom.Pl.2	ir	ir
nu	AVD	nû	nû
wunder	NA.Neut.Akk.Sg.st	wunder	wunter
hoeren	VVINF	hoeren	hoèren
sagen	VVINF	sagen	sagen
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
wuohs	VVFIN.Ind.Past.Sg.3	wuohs	wahsen
in	APPR	in	in
buregonden	NA.Masc.Dat.Pl.*	Burgonden	Burgunde
ein	DIART	ein	èin
vil	AVD	vile	vile
edel	ADJA.Pos	edel	èdele
magedîn	NA.Neut.Nom.Sg.st	magedîn	magedîn
,	$_	,	,
daz	KOUS	daz	dazz
in	APPR	in	in
allen	DIA.*.Dat.Pl.st	allen	all
landen	NA.Neut.Dat.Pl.st	landen	lant
niht	NA.Neut.Nom.Sg.st	niht	niht
schoeners	ADJA.Pos.Neut.Gen.Sg.st	schoeners	schoène
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
sîn	VAINF	sîn	sîn
,	$_	,	,
kriemhilt	NE.Nom.Sg	Kriemhilt	Krièmhilt
geheizen	VVPP	geheizen	hèizen
:	$_	:	:
diu	DDS.Fem.Nom.Sg.*	diu	dër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
ein	DIART	ein	èin
schoene	ADJA.Pos.Neut.Nom.Sg.wk	schoene	schoène
wip	NA.Neut.Nom.Sg.st	wîp	wîb
.	$_	.	.
	
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
muosen	VMFIN.*.Past.Pl.3	muosen	müèzen
degene	NA.Masc.Nom.Pl.st	degene	dëgen
vil	AVD	vile	vile
verliesen	VVINF	verliesen	verlièsen
den	DDART.Masc.Akk.Sg.*	den	dër
lîp	NA.Masc.Akk.Sg.st	lîp	lîb
.	$_	.	.
	
ir	PPER.*.Gen.Pl.3	ir	ër
pflâgen	VVFIN.Ind.Past.Pl.3	pflâgen	pflëgen
drî	CARDA.Masc.Nom.Pl.*	drî	drî
künege	NA.Masc.Nom.Pl.st	küninge	küning
edel	ADJN.Masc.Nom.Pl.*	edel	èdele
unde	KON	unde	unte
rîch	ADJN.Masc.Nom.Pl.*	rîche	rîche
,	$_	,	,
gunther	NE.Nom.Sg	Gunther	Gunther
unde	KON	unde	unte
gêrnôt	NE.Nom.Sg	Gêrnôt	Gêrnôt
,	$_	,	,
die	DDART.Masc.Nom.Pl.*	die	dër
recken	NA.Masc.Nom.Pl.wk	recken	rècke
lobelîch	ADJN.Masc.Nom.Pl.*	lobelich	lobelich
,	$_	,	,
und	KON	und	unte
gîselher	NE.Nom.Sg	Gîselher	Gîselhèr
der	DDART.Masc.Nom.Sg.*	der	dër
junge	ADJA.Pos.Masc.Nom.Sg.wk	junge	jung
,	$_	,	,
ein	DIART.Masc.Nom.Sg.*	ein	èin
waetlîcher	ADJA.Pos.Masc.Nom.Sg.st	wætlîcher	wætlich
degen	NA.Masc.Nom.Sg.st	degen	dëgen
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
frouwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	DPOSA	ire	ire
swester	NA.Fem.Nom.Sg.st	swester	swëster
:	$_	:	:
die	DDART.Masc.Nom.Pl.*	die	dër
helde	NA.Masc.Nom.Pl.st	helde	hèled
hêtens	VAFIN.*.Past.Pl.3|PPER.Fem.Akk.Sg.3	hêten|si	haben|ër
in	PPER.Masc.Akk.Sg.3	in	ër
ir	PPER.Fem.Dat.Sg.3	ir	ër
pflegen	VVPP	pflegen	pflëgen
.	$_	.	.
	
ein	DIART.Fem.Nom.Sg.*	ein	èin
rîchiu	ADJA.Pos.Fem.Nom.Sg.st	rîchiu	rîche
küneginne	NA.Fem.Nom.Sg.*	küninginne	küninginne
frou	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
uote	NE.Nom.Sg	Voite	Vote
ir	DPOSA.Fem.Nom.Sg.*	ire	ire
muoter	NA.Fem.Nom.Sg.st	muoter	muoter
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
:	$_	:	:
ir	DPOSA.Masc.Nom.Sg.*	ire	ire
vater	NA.Masc.Nom.Sg.st	vater	vater
der	DDS.Masc.Nom.Sg.*	der	dër
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
dancrât	NE.Nom.Sg	Dancrât	Dankrât
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
in	APPR	in	in
