hie	PAVD	hier	hièr
bevor	PAVAP	bevore	bevore
bî	APPR	bî	bî
den	DDART.*.Dat.Pl.*	den	dër
jâren	NA.Neut.Dat.Pl.st	jâren	jâr
,	$_	,	,
dô	KOUS	dô	dô
die	DDART.*.Nom.Pl.*	die	dër
gefüegen	NA.Masc.Nom.Pl.*	gevüegen	gevüège
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
in	APPR	in	in
allen	DIA.*.Dat.Pl.st	allen	all
künicrîchen	NA.Neut.Dat.Pl.st	künincrîchen	küningrîche
wert	ADJD.Pos	wert	wërd
und	KON	und	unte
dô	KOUS	dô	dô
man	PI.*.Nom.Sg.st	man	man
rehter	ADJA.Pos.Fem.Gen.Sg.st	rehter	rëht
fuoge	NA.Fem.Gen.Sg.st	vuoge	vuoge
gert	VVFIN.*.Past.Sg.3	gerte	gëren
,	$_	,	,
dô	AVD	dô	dô
schamten	VVFIN.*.Past.Pl.3	schameten	schamen
sich	PRF.Akk.*.*	sich	sich
genuoge	ADJA.Pos.*.Nom.Pl.st	genuoge	genuoge
.	$_	.	.
	
swâ	AVG	swâ	swâr
man	PI.*.Nom.Sg.st	man	man
kein	DIA.Fem.Akk.Sg.*	kein	kèin
unfuoge	NA.Fem.Akk.Sg.st	unvuoge	unvuoge
begienc	VVFIN.Ind.Past.Sg.3	begienc	begân
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
den	DDART.*.Dat.Pl.*	den	dër
werden	ADJA.Pos.*.Dat.Pl.*	werden	wërd
leit	ADJD.Pos	leit	lèid
.	$_	.	.
	
gefuoge	NA.Neut.Nom.Sg.st	gevuoge	gevüège
zuht	NA.Fem.Nom.Sg.st	zuht	zuht
und	KON	und	unte
hübescheit	NA.Fem.Akk.Sg.st	hövischheit	hövischhèit
vlizzen	VVFIN.*.Past.Pl.3	vlizzen	vlîzen
si	PPER.*.Nom.Pl.3	si	ër
sich	PRF.Akk.*.*	sich	sich
alle	DID.*.Nom.Pl.st	alle	all
dô	AVD	dô	dô
.	$_	.	.
	
mit	APPR	mit	mit
schoenen	ADJA.Pos.*.Dat.Pl.*	schoenen	schoène
zühten	NA.Fem.Dat.Pl.st	zühten	zuht
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
frô	ADJD.Pos	vrô	vrô
beide	KON	beide	bèide
wîp	NA.Neut.Nom.Pl.st	wîp	wîb
und	KON	und	unte
ouch	AVD	ouch	ouch
man	NA.Masc.Nom.Pl.st	manne	mann
.	$_	.	.
	
vil	AVD	vile	vile
manger	DIA.*.Gen.Pl.st	maniger	manig
hôhen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
prîs	NA.Masc.Akk.Sg.st	prîs	prîs
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
mit	APPR	mit	mit
zuht	NA.Fem.Dat.Sg.st	zuht	zuht
und	KON	und	unte
ouch	AVD	ouch	ouch
mit	APPR	mit	mit
manheit	NA.Fem.Dat.Sg.st	manheit	mannhèit
,	$_	,	,
von	APPR	von	von
dem	DRELS.Masc.Dat.Sg	dem	dër
man	PI.*.Nom.Sg.st	man	man
noch	AVD	noch	noh
hiute	AVD	hiute	hiute
seit	VVFIN.Ind.Pres.Sg.3	seit	sagen
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
nâch	APPR	nâch	nâh
êren	NA.Fem.Dat.Pl.*	êren	êre
strîten	VVINF	strîten	strîten
die	DDART.*.Akk.Pl.*	die	dër
werden	ADJA.Pos.*.Akk.Pl.wk	werden	wërd
zallen	APPR|DIA.*.Dat.Pl.st	ze|allen	ze|all
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
.	$_	.	.
	
untriuwe	NA.Fem.Nom.Sg.*	untriuwe	untriuwe
unde	KON	unde	unte
valscheit	NA.Fem.Nom.Sg.st	valschheit	valschhèit
was	VAFIN.Ind.Past.Sg.3	was	wësen
dô	AVD	dô	dô
aller	DIA.*.Gen.Pl.st	aller	all
welde	NA.Masc.Gen.Pl.st	welde	wald
leit	NA.Neut.Nom.Sg.st	leit	lèid
.	$_	.	.
	
dô	AVD	dô	dô
wârn	VAFIN.Ind.Past.Pl.3	wârn	wësen
die	DDART.*.Nom.Pl.*	die	dër
liute	NA.Masc,Neut.Nom.Pl.st	liute	liut
rîche	ADJD.Pos	rîche	rîche
und	KON	und	unte
lepten	VVFIN.*.Past.Pl.3	lebeten	lëben
frôlîche	AVD	vroelîche	vroèlîche
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
wârn	VAFIN.Ind.Past.Pl.3	wârn	wësen
getriuwe	ADJD.Pos	getriuwe	getriuwe
und	KON	und	unte
wol	AVD	wole	wole
gemuot	ADJD.Pos	gemuot	gemuot
.	$_	.	.
	
ouch	AVD	ouch	ouch
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
dô	AVD	dô	dô
diu	DDART.Neut.Nom.Pl.*	diu	dër
jâr	NA.Neut.Nom.Pl.st	jâr	jâr
guot	ADJD.Pos	guot	guot
.	$_	.	.
	
nu	AVD	nû	nû
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
ez	PPER.Neut.Nom.Sg.3	ez	ër
sich	PRF.Akk.*.*	sich	sich
verkêret	VVPP	verkêret	verkêren
gar	AVD	gar	gare
:	$_	:	:
ie	AVD	ie	iè
langer	AVD	langer	lange
sô	AVD	sô	sô
boeser	ADJA.Pos.*.Gen.Pl.st	boeser	boèse
jâr	NA.Neut.Gen.Pl.st	jâr	jâr
.	$_	.	.
	
die	DDART.*.Nom.Pl.*	die	dër
liut	NA.Masc,Neut.Nom.Pl.st	liute	liut
vil	AVD	vile	vile
grimmeclîchen	AVD	grimmiclîchen	grimmiglîche
lebent	VVFIN.Ind.Pres.Pl.3	lebent	lëben
in	APPR	in	in
allen	DIA.*.Dat.Pl.st	allen	all
rîchen	NA.Neut.Dat.Pl.st	rîchen	rîche
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
nimt	VVFIN.Ind.Pres.Sg.3	nimet	nëmen
abe	PTKVZ	abe	abe
an	APPR	an	ane
guoten	ADJA.Pos.*.Dat.Pl.*	guoten	guot
dingen	NA.Neut.Dat.Pl.st	dingen	ding
.	$_	.	.
	
die	DRELS.*.Nom.Pl	die	dër
uns	PPER.*.Dat.Pl.1	uns	wir
fröude	NA.Fem.Akk.Sg.st	vröuwede	vröuwede
solten	VMFIN.*.Past.Pl.3	solten	solen
bringen	VVINF	bringen	bringen
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
mein	VVFIN.*.Pres.Sg.1	meine	mèinen
die	DDART.*.Akk.Pl.*	die	dër
