uns	PPER.*.Dat.Pl.1	uns	wir
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
in	APPR	in	in
alten	ADJA.Pos.*.Dat.Pl.*	alten	alt
mæren	NA.Neut.Dat.Pl.st	mæren	mære
wnders	NA.Neut.Gen.Sg.st	wunders	wunter
vil	NA.Neut.Nom.Sg.st	vile	vile
geseit	VVPP	geseit	sagen
von	APPR	von	von
helden	NA.Masc.Dat.Pl.st	helden	hèled
lobebærn	ADJN.*.Dat.Pl.*	lobebærn	lobebære
von	APPR	von	von
grozzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
chuonheit	NA.Fem.Dat.Sg.st	kuonheit	kuonhèit
von	APPR	von	von
fröuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
hochgeziten	NA.Fem,Neut.Dat.Pl.st	hôchgezîten	hôhgezît
von	APPR	von	von
weinen	NA.Neut.Dat.Sg.wk	weinenne	wèinen
vnd	KON	und	unte
von	APPR	von	von
klagen	NA.Fem.Dat.Pl.*	klagen	klage
von	APPR	von	von
chuoner	ADJA.Pos.*.Gen.Pl.st	küener	küène
rechen	NA.Masc.Gen.Pl.wk	recken	rècke
strite	NA.Masc.Dat.Sg.st	strîte	strît
mvget	VMFIN.*.Pres.Pl.2	müget	mügen
ir	PPER.*.Nom.Pl.2	ir	ir
nv	AVD	nû	nû
wunder	NA.Neut.Akk.Sg.st	wunder	wunter
hoeren	VVINF	hoeren	hoèren
sagen	VVINF	sagen	sagen
ez	PPER.Neut.Nom.Sg.3	ez	ër
wuohs	VVFIN.Ind.Past.Sg.3	wuohs	wahsen
in	APPR	in	in
burgonden	NA.Masc.Dat.Pl.*	Burgonden	Burgunde
ein	DIART	ein	èin
schoene	ADJA.Pos	schoene	schoène
magedin	NA.Neut.Nom.Sg.st	magedîn	magedîn
daz	KOUS	daz	dazz
in	APPR	in	in
allen	DIA.*.Dat.Pl.st	allen	all
landen	NA.Neut.Dat.Pl.st	landen	lant
niht	NA.Neut.Nom.Sg.st	niht	niht
schoeners	NA.Masc.Gen.Sg.st	schônærs	schônære
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
sin	VAINF	sîn	sîn
chriemhilt	NE.Nom.Sg	Kriemhilt	Krièmhilt
was	VAFIN.Ind.Past.Sg.3	was	wësen
si	PPER.Fem.Nom.Sg.3	si	ër
geheizzen	VVPP	geheizen	hèizen
vnde	KON	unde	unte
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
schoene	ADJA.Pos	schoene	schoène
wip	NA.Neut.Nom.Sg.st	wîp	wîb
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
muosen	VMFIN.*.Past.Pl.3	muosen	müèzen
degene	NA.Masc.Nom.Pl.st	degene	dëgen
vil	NA.Neut.Nom.Sg.st	vile	vile
verliesen	VVINF	verliesen	verlièsen
den	DDART.Masc.Akk.Sg.*	den	dër
lip	NA.Masc.Akk.Sg.st	lîp	lîb
der	DDART.Fem.Gen.Sg.*	der	dër
minnechlichen	ADJA.Pos.Fem.Gen.Sg.wk	minniclîchen	minniglich
meide	NA.Fem.Gen.Sg.st	meide	maged
truoten	NA.Masc.Dat.Pl.st	trûten	trûte
wol	AVD	wole	wole
gezam	VVFIN.Ind.Past.Sg.3	gezam	gezëmen
in	APPR	in	in
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
kuoner	ADJA.Pos.*.Gen.Pl.st	küener	küène
recken	NA.Masc.Gen.Pl.wk	recken	rècke
niemen	DIA.*.Nom.Sg.st	nieman	nièmannd
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	PPER.*.Gen.Pl.3	ir	ër
gram	ADJD.Pos	gram	gram
ane	APPR	âne	âne
mazen	NA.Fem.Akk.Pl.st	mâzen	mâze
schoene	ADJD.Pos	schoene	schoène
so	AVD	sô	sô
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	DPOSA.Masc.Nom.Sg.*	ire	ire
edel	ADJA.Pos.Masc.Nom.Sg.*	edel	èdele
lip	NA.Masc.Nom.Sg.st	lîp	lîb
der	DDART.Fem.Gen.Sg.*	der	dër
ivnchfrouwen	NA.Fem.Gen.Sg.st	juncvrouwen	jungvrouwe
tugende	NA.Fem.Nom.Pl.st	tugende	tugende
zierten	VVFIN.*.Past.Pl.3	zierten	zièren
anderiv	DIA.Neut.Nom.Pl.st	anderiu	ander
wip	NA.Neut.Nom.Pl.st	wîp	wîb
ir	PPER.Fem.Gen.Sg.3	ir	ër
phlagen	VVFIN.Ind.Past.Pl.3	pflâgen	pflëgen
dri	CARDA.Masc.Nom.Pl.*	drî	drî
kvnige	NA.Masc.Nom.Pl.st	küninge	küning
edel	ADJN.Masc.Nom.Pl.*	edel	èdele
vnde	KON	unde	unte
rich	ADJA.Pos.*.Nom.Pl.*	rîche	rîche
gvnthere	NA.Masc.Nom.Pl.*	gunthêrren	gunthêrre
vnde	KON	unde	unte
gernot	NE.Nom.Sg	Gêrnôt	Gêrnôt
die	DDART.Masc.Nom.Pl.*	die	dër
recken	NA.Masc.Nom.Pl.wk	recken	rècke
lobelich	ADJN.Masc.Nom.Pl.*	lobelich	lobelich
vnde	KON	unde	unte
giselher	NE.Nom.Sg	Gîselher	Gîselhèr
der	DDART.Masc.Nom.Sg.*	der	dër
ivnge	ADJA.Pos.Masc.Nom.Sg.wk	junge	jung
ein	DIART	ein	èin
uozerwelter	ADJA.Pos.Masc.Nom.Sg.st	vuozerwelter	ûzerwèlet
degen	NA.Masc.Nom.Sg.st	degen	dëgen
div	DDART.Fem.Nom.Sg.*	diu	dër
frouwe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	DPOSA	ire	ire
swester	NA.Fem.Nom.Sg.st	swester	swëster
die	DDART.*.Nom.Pl.*	die	dër
fvrsten	NA.Masc.Nom.Pl.wk	vürsten	vürste
hetens	VAFIN.*.Past.Pl.3|PPER.Masc.Nom.Pl.3	hêten|si	haben|ër
in	APPR	in	in
ir	PPER.Fem.Dat.Sg.3	ir	ër
pflegen	VVFIN.Subj.Past.Pl.3	pflægen	pflëgen
die	DDART.*.Nom.Pl.*	die	dër
herren	NA.Masc.Nom.Pl.*	hêrren	hêrre
warn	VAFIN.Ind.Past.Pl.3	wârn	wësen
milte	ADJD.Pos	milte	milte
von	APPR	von	von
arte	NA.Fem,Masc.Dat.Sg.st	arte	art
hohgeborn	VVPP	hôhgeboren	hôhgebëren
mit	APPR	mit	mit
krefte	NA.Fem.Dat.Sg.st	krefte	kraft
vnmazzen	AVD	unmâzen	unmâzen
küene	ADJD.Pos	küene	küène
die	DDART.*.Nom.Pl.*	die	dër
recken	NA.Masc.Nom.Pl.wk	recken	rècke
uozerkorn	ADJN.Masc.Nom.Pl.*	ûzerkoren	ûzerkoren
da	AVD	dâ	dâr
zen	APPR|DDART.*.Dat.Pl.*	ze|den	ze|dër
burgonden	NA.Masc.Dat.Pl.*	Burgonden	Burgunde
so	AVD	sô	sô
was	VAFIN.Ind.Past.Sg.3	was	wësen
