wer	PW.Masc.Nom.Sg.st	wer	wër
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
mich	PPER.*.Akk.Sg.1	mich	ich
guoter	ADJD.Pos	guoter	guot
ûf	PTKVZ	ûf	ûf
getân	VVPP	getân	tuon
?	$_	?	?
	
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
ez	PPER.Neut.Nom.Sg.3	ez	ër
iemen	DIA.*.Nom.Sg.st	ieman	ièmannd
der	DRELS.Masc.Nom.Sg	der	dër
mich	PPER.*.Akk.Sg.1	mich	ich
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
beidiu	KON	beidiu	bèide
lesen	VVINF	lesen	lësen
und	KON	und	unte
verstên	VVINF	verstên	verstân
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
genâde	NA.Fem.Akk.Sg.st	genâde	genâde
an	APPR	an	ane
mir	PPER.*.Dat.Sg.1	mir	ich
begên	VVINF	begên	begân
,	$_	,	,
ob	KOUS	ob	obe
iht	NA.Neut.Nom.Sg.st	iht	iht
wandels	NA.Masc,Neut.Gen.Sg.st	wandels	wantel
an	APPR	an	ane
mir	PPER.*.Dat.Sg.1	mir	ich
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
mich	PPER.*.Akk.Sg.1	mich	ich
doch	AVD	doch	doh
lâze	VVFIN.Subj.Pres.Sg.3	lâze	lâzen
vrî	DPOSA.Fem.Gen.Sg.st	ire	ire
valscher	ADJA.Pos.Fem.Gen.Sg.st	valscher	valsch
rede	NA.Fem.Gen.Sg.st	rede	rède
:	$_	:	:
daz	DDS.Neut.Nom.Sg.*	daz	dër
êret	VVFIN.Ind.Pres.Sg.3	êret	êren
in	PPER.Masc.Akk.Sg.3	in	ër
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
weiz	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
wol	AVD	wole	wole
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
niene	AVD	niene	niène
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
geliutert	VVPP	geliutert	liuteren
und	KON	und	unte
gerihtet	VVPP	gerihtet	rihten
noch	KON	noch	noh
sô	AVD	sô	sô
wol	AVD	wole	wole
getihtet	VVPP	getihtet	tihten
michn	DPOSA	mîn	mîn
velsche	ADJA.Pos.*.Akk.Pl.st	velsche	valsch
lîhte	AVD	lîhte	lîhte
ein	DIART	ein	èin
valscher	ADJA.Pos.Masc.Nom.Sg.st	valscher	valsch
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
wan	KO*	wan	wante
sich	PRF.Akk.*.*	sich	sich
niemen	DIA.*.Nom.Sg.st	nieman	nièmannd
vor	APPR	vore	vore
in	PPER.*.Dat.Pl.3	in	ër
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
behüeten	VVINF	behüeten	behüèten
wol	AVD	wole	wole
,	$_	,	,
swie	AVG	swie	swiè
rehte	AVD	rehte	rëhte
er	PPER.Masc.Nom.Sg.3	er	ër
tuot	VVFIN.Ind.Pres.Sg.3	tuot	tuon
.	$_	.	.
	
dehein	DIA	dechein	dehèin
rede	NA.Fem.Nom.Sg.*	rede	rède
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
sô	AVD	sô	sô
guot	ADJD.Pos	guot	guot
sine	PPER.*.Nom.Pl.3|PTKNEG	si|ne	ër|ne
velschen	VVFIN.*.Pres.Pl.3	velschen	vèlschen
si	VAFIN.Subj.Pres.Sg.3	sî	sîn
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
weiz	VVFIN.Ind.Pres.Sg.1	weiz	wizzen
ich	PPER.*.Nom.Sg.1	ich	ich
wol	AVD	wole	wole
.	$_	.	.
	
swaz	PG.Neut.Akk.Sg.st	swaz	swër
ich	PPER.*.Nom.Sg.1	ich	ich
valsches	NA.Masc.Gen.Sg.st	valsches	valsch
von	APPR	von	von
in	PPER.*.Dat.Pl.3	in	ër
dol	VVFIN.*.Pres.Sg.1	dole	dolen
,	$_	,	,
owê	ITJ	ouwê	ouwê
,	$_	,	,
wem	PW.Masc.Dat.Sg.st	wem	wër
sol	VMFIN.Ind.Pres.Sg.1	sol	solen
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
klagen	VVINF	klagen	klagen
?	$_	?	?
	
ich	PPER.*.Nom.Sg.1	ich	ich
wilz	VMFIN.Ind.Pres.Sg.1|PPER.Neut.Akk.Sg.3	wile|ez	wèllen|ër
et	AVD	et	ëht
harte	AVD	harte	harte
ringe	AVD	ringe	ringe
tragen	VVINF	tragen	tragen
,	$_	,	,
mac	VMFIN.Ind.Pres.Sg.1	mac	mügen
ich	PPER.*.Nom.Sg.1	ich	ich
der	DDART.*.Gen.Pl.*	der	dër
besten	ADJA.Sup.*.Gen.Pl.wk	bezzisten	bèzzist
lop	NA.Masc,Neut.Akk.Sg.st	lop	lob
bejagen	VVINF	bejagen	bejagen
.	$_	.	.
	
swer	PG.Masc.Nom.Sg.st	swer	swër
nâch	APPR	nâch	nâh
êren	NA.Fem.Dat.Pl.*	êren	êre
sinne	NA.Masc.Dat.Sg.st	sinne	sinn
,	$_	,	,
triuwe	NA.Fem.Akk.Sg.st	triuwe	triuwe
und	KON	und	unte
êre	NA.Fem.Akk.Sg.st	êre	êre
minne	VVFIN.Subj.Pres.Sg.3	minne	minnen
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
volge	VVFIN.Subj.Pres.Sg.3	volge	volgen
guoter	ADJA.Pos.Fem.Dat.Sg.st	guoter	guot
lêre	NA.Fem.Dat.Sg.st	lêre	lêre
-	$_	-	-
daz	DDS.Neut.Nom.Sg.*	daz	dër
vürdert	VVFIN.Ind.Pres.Sg.3	vürdert	vorderen
in	PPER.Masc.Akk.Sg.3	in	ër
vil	AVD	vile	vile
sêre	AVD	sêre	sêre
-	$_	-	-
unde	KON	unde	unte
vlîze	VVFIN.Subj.Pres.Sg.3	vlieze	vlièzen
sich	PRF.Akk.*.*	sich	sich
dar	PAVD	dâr	dâr
zuo	PAVAP	zuo	zuo
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
nâch	APPR	nâch	nâh
den	DDS.*.Dat.Pl.*	den	dër
getuo	VVFIN.Subj.Pres.Sg.3	getuo	getuon
den	DRELS.Masc.Akk.Sg	den	dër
diu	DDART.Fem.Nom.Sg.*	diu	dër
werlt	NA.Fem.Nom.Sg.st	werlt	wërelt
des	DDART.Neut.Gen.Sg.*	des	dër
besten	ADJA.Sup.Neut.Gen.Sg.wk	bezzisten	bèzzist
giht	VVFIN.Ind.Pres.Sg.3	jihet	jëhen
,	$_	,	,
und	KON	und	unte
die	DRELS.Fem.Akk.Sg	die	dër
man	PI.*.Nom.Sg.st	man	man
doch	AVD	doch	doh
dar	PAVD	dâr	dâr
under	PAVAP	under	unter
siht	VVFIN.Ind.Pres.Sg.3	sihet	sëhen
nâch	APPR	nâch	nâh
gotes	NA.Masc.Gen.Sg.st	gotes	got
lône	NA.Masc,Neut.Dat.Sg.st	lône	lôn
dienen	VVINF	dienen	diènen
hie	AVD	hier	hièr
;	$_	;	;
den	DDS.*.Dat.Pl.*	den	dër
volge	VVFIN.*.Pres.Pl.1	volgen	volgen
wir	PPER.*.Nom.Pl.1	wir	wir
,	$_	,	,
wan	KO*	wan	wante
daz	DDS.Neut.Nom.Sg.*	daz	dër
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
die	DDS.*.Nom.Pl.*	die	dër
den	DRELS.*.Dat.Pl	den	dër
got	NA.Masc.Nom.Sg.st	got	got
hie	AVD	hier	hièr
saelde	NA.Fem.Akk.Sg.st	sælde	sælede
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
gegeben	VVPP	gegeben	gëben
und	KON	und	unte
dort	AVD	dort	dort
ein	DIART	ein	èin
êwiclîchez	ADJA.Pos.Neut.Akk.Sg.st	êwiclîchez	êwiglich
leben	NA.Neut.Akk.Sg.st	leben	lëben
,	$_	,	,
dar	PAVD	dâr	dâr
nâch	PAVAP	nâch	nâh
wir	PPER.*.Nom.Pl.1	wir	wir
alle	DID.*.Nom.Pl.st	alle	all
sulen	VMFIN.*.Pres.Pl.1	sulen	solen
streben	VVINF	streben	strëben
.	$_	.	.
	
waer	VAFIN.Subj.Past.Sg.1	wær	wësen
ich	PPER.*.Nom.Sg.1	ich	ich
ein	DIART.Masc.Nom.Sg.*	ein	èin
alsô	AVD	alsô	allsô
wîser	ADJA.Pos.Masc.Nom.Sg.st	wîser	wîse
man	NA.Masc.Nom.Sg.st	man	mann
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
wol	AVD	wole	wole
möhte	VMFIN.*.Past.Sg.1	mohte	mügen
-	$_	-	-
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
doch	AVD	doch	doh
kan	VMFIN.Ind.Pres.Sg.1	kan	kunnen
-	$_	-	-
gesprechen	VVINF	gesprechen	gesprëchen
nâch	APPR	nâch	nâh
des	DDART.Neut.Gen.Sg.*	des	dër
