gedaehte	VVFIN.Subj.Past.Sg.3	gedæhte	gedènken
mans	PI.*.Nom.Sg.st|PPER.Neut.Gen.Sg.3	man|es	man|ër
ze	APPR	ze	ze
guote	NA.Neut.Dat.Sg.st	guote	guot
niht	PTKNEG	niht	niht
,	$_	,	,
von	APPR	von	von
dem	DRELS.Masc.Dat.Sg	dem	dër
der	DDART.Fem.Dat.Sg.*	der	dër
werlde	NA.Fem.Dat.Sg.st	werlte	wërelt
guot	NA.Neut.Nom.Sg.st	guot	guot
geschiht	VVFIN.Ind.Pres.Sg.3	geschihet	geschëhen
,	$_	,	,
so	AVD	sô	sô
waerez	VAFIN.Subj.Past.Sg.3|PPER.Neut.Nom.Sg.3	wær|ez	wësen|ër
allez	DID.Neut.Nom.Sg.st	allez	all
alse	AVD	alse	allsô
niht	NA.Neut.Nom.Sg.st	niht	niht
,	$_	,	,
swaz	PG.Neut.Nom.Sg.st	swaz	swër
guotes	NA.Neut.Gen.Sg.st	guotes	guot
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
werlde	NA.Fem.Dat.Sg.st	werlte	wërelt
geschiht	VVFIN.Ind.Pres.Sg.3	geschihet	geschëhen
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
guote	ADJA.Pos.Masc.Nom.Sg.wk	guote	guot
man	NA.Masc.Nom.Sg.st	man	mann
swaz	PG.Neut.Nom.Sg.st	swaz	swër
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
guot	NA.Fem.Dat.Sg.st	guot	güète
und	KON	und	unte
niwan	AVD	niuwan	niuwan
der	DDART.Fem.Dat.Sg.*	der	dër
werlt	NA.Fem.Dat.Sg.st	werlt	wërelt
ze	APPR	ze	ze
guote	NA.Neut.Dat.Sg.st	guote	guot
tuot	VVFIN.Ind.Pres.Sg.3	tuot	tuon
,	$_	,	,
swer	PG.Masc.Nom.Sg.st	swer	swër
daz	DDS.Neut.Akk.Sg.*	daz	dër
iht	NA.Neut.Akk.Sg.st	iht	iht
anders	AVD	anders	anderes
wan	KOKOM	wan	wan
in	APPR	in	in
guot	NA.Neut.Akk.Sg.st	guot	guot
vernemen	VVINF	vernemen	vernëmen
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
missetuot	VVFIN.Ind.Pres.Sg.3	missetuot	missetuon
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
hoere	VVFIN.*.Pres.Sg.1	hoere	hoèren
es	PPER.Neut.Gen.Sg.3	es	ër
velschen	VVINF	velschen	vèlschen
harte	AVD	harte	harte
vil	NA.Neut.Akk.Sg.st	vile	vile
,	$_	,	,
daz	DRELS.Neut.Akk.Sg	daz	dër
man	PI.*.Nom.Sg.st	man	man
doch	AVD	doch	doh
gerne	AVD	gerne	gërne
haben	VAINF	haben	haben
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
:	$_	:	:
da	AVD	dâ	dâr
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
des	DDART.Neut.Gen.Sg.*	des	dër
lützelen	ADJA.Pos.Neut.Gen.Sg.wk	lützelen	lützel
ze	PTKA	ze	ze
vil	NA.Neut.Nom.Sg.st	vile	vile
,	$_	,	,
da	AVD	dâ	dâr
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
man	PI.*.Nom.Sg.st	man	man
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
man	PI.*.Nom.Sg.st	man	man
niene	AVD	niene	niène
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
.	$_	.	.
	
